id,track_name,artist_name,valence,energy,danceability
0dMhzmchSl0BhVMcmIGM94,Minha Alma Doi,Forró do Muido,0.561,0.881,0.543
12STlPvcWtxRXhV5XaHhVh,Launch,Trevor Rabin,0.0567,0.428,0.0914
6os1lf0O8XyPqxPCBME6L5,Kill Robok,Squarepusher,0.368,0.871,0.376
4FqfHVML025cwjfhAOFbfa,Por Debajo De La Mesa,Luis Miguel,0.262,0.499,0.401
6YHpaawV0C88rwt2bQE6jV,Toy Soldiers,Martika,0.199,0.441,0.522
5TbePlmyX3nKD8LP9djCKu,Menanti Di Ambang Syurga,Datuk Ahmad Jais,0.437,0.213,0.368
7bcHBD27hxkK5aSXjWOysM,When I Held Ya,Moa Lignell,0.418,0.645,0.425
5819SeQFlcHBbRyhFS16al,Mirage,Siouxsie and the Banshees,0.473,0.796,0.262
3rYxOXZNc2qoCRhV6w9eq3,Drowning,Mario,0.185,0.479,0.717
1LWabh9wqLITaRpYe82PoD,Music for 18 Musicians: Section I,Steve Reich,0.187,0.304,0.591
7CMezyKuYc97JqXGUwhsGH,"Shine, Shave, Shower (It's Saturday)",Lefty Frizzell,0.836,0.31,0.815
37IrFeTPLJs1IKxoBDuN8b,Sansula (Max Cooper's Lost In Sound Mix),Dominik Eulberg,0.193,0.523,0.646
3SktMqZmo3M9zbB7oKMIF7,Gravity,John Mayer,0.237,0.326,0.753
7yruNsuZNvhOAiiGhN7kYG,Days and Days,FPM,0.922,0.415,0.888
4JjQPwb0MnDsO5wIvxlvNi,Won't Get Fooled Again - Original Album Version,The Who,0.274,0.856,0.692
1eq6pDTqBszNFlnQ1owhLy,Starlight,Various Artists,0.941,0.726,0.767
7hN4a5qHzeAnQFqxkivHqs,Coracao leviano,Paulinho Da Viola,0.845,0.468,0.674
7DtKDtI9HfKJK14Ib9X8rX,Teleport Massive - Bassnectar Remix,Bassnectar,0.532,0.931,0.556
2Sl6nebRR2h8AHe7vvun5Q,Waldspaziergang mit Folgen,Die Ärzte,0.922,0.765,0.746
1qZMPmpD1jDcOA7gZ6TCde,One (Your Name) - Radio Edit,Swedish House Mafia,0.636,0.673,0.733
2YsxdgfdysICWS4Mrn25hd,Let There Be Love,Nat King Cole,0.258,0.196,0.642
5TZ1MiOcg3LFAlJ1JR6zUp,Ripple Effect,Luna Haruna,0.753,0.872,0.693
7LT6dkoxfUavcBDe7RYgog,Never Had Nobody Like You,M. Ward,0.925,0.665,0.534
10Tv9lW7IEmD7PMSzPVVfT,Bass By The Tonne,TC,0.523,0.818,0.545
1wAXODAAL6hY64ZdhrnjBO,Drive By,Train,0.73,0.849,0.759
2V2pxcEfn5zs79sE7qcewA,Now And Forever,Richard Marx,0.172,0.258,0.441
0j5yU90ukGxrH1PeWojHTf,Maybe After He's Gone - Mono Version,The Zombies,0.304,0.48,0.464
6jXjMR8DCIfzcG30zUoTnd,Ambon,Various Artists,0.453,0.299,0.416
5J9aXPLajchcl1gjd7lJZn,Cycles of Suffering,Suffocation,0.197,0.974,0.403
3QOehiIQTEl4ecxFyYA7u8,Tríptico,Gotan Project,0.175,0.7,0.538
